ts,order_id,position_id,purpose,symbol,side,ordertype,post_only,attempt,fill_size,fill_price,arrival_ref,slip_bps,fees_delta_usd,remaining,reason,exec_era,book
1784597608.35,6f3a356b,158d71b3-447d-44b5-bc1e-c59d6e82d77b,entry,ETH/USD,buy,limit,1,0,0.001623326773,1910.22,1910.31,-0.471,0.007752,0.002528987618,,,
1784597618.351,6f3a356b,158d71b3-447d-44b5-bc1e-c59d6e82d77b,entry,ETH/USD,buy,limit,1,0,0.001944462195,1910.22,1910.31,-0.471,0.009286,0.0005845254234,,,
1784599842.982,b6c3e6de,158d71b3-447d-44b5-bc1e-c59d6e82d77b,exit,ETH/USD,sell,limit,0,1,0.008838029031,1908.02,1908.03,0.052,0.067453,0,tier trail,,
1784600332.964,8b9c6ca6,aef4a15e-093e-4374-96f9-36dc7f5e40b8,exit,ETH/USD,buy,limit,0,1,0.02114543843,1905.35,1905.35,0.0,0.161158,0,tier trail,,
1784600332.964,31396127,1d3f93aa-a602-4e32-9bc4-89d35c09cb95,exit,ETH/USD,sell,limit,0,1,0.009408517845,1905.32372,1905.35,0.138,0.071705,0,tier trail,,
1784601360.569,1f13a22e,a5cd8049-5cf4-469c-aeff-af64ae5796a0,exit,ETH/USD,buy,limit,0,1,0.009470992455,1910.366604,1910.36,0.035,0.072372,0,label-mature realization (ML-073),,
1784618156.06,392fa230,bb1314bd-6f58-42f6-81b5-e1a94eb1407b,entry,BTC/USD,buy,limit,1,0,0.0002732323386,65878,65878,0.0,0.045000,0,,,
1784619490.419,09e74676,58fe1e16-02f1-46cb-bc9d-53709765ffee,entry,BTC/USD,buy,limit,1,0,0.0002681139814,65989.925,65990,-0.011,0.044232,4.654619933e-06,,,
1784619810.443,ae8306c1,58fe1e16-02f1-46cb-bc9d-53709765ffee,exit,BTC/USD,sell,limit,0,1,0.0002681139814,66001.1,66036.8,5.406,0.070783,0,tier trail,,
1784619820.444,f29dcac1,bb1314bd-6f58-42f6-81b5-e1a94eb1407b,exit,BTC/USD,sell,limit,0,1,0.0002732323386,66001.1,66003.9,0.424,0.072135,0,tier trail,,
1784620793.394,541c7f27,2bc9a561-1b50-4525-8a04-748649128c97,entry,BTC/USD,buy,limit,1,0,0.000167415136,66150.025,66152.1,-0.314,0.027686,0.0001046850694,,,
1784620798.394,541c7f27,2bc9a561-1b50-4525-8a04-748649128c97,entry,BTC/USD,buy,limit,1,0,9.931844089e-05,66150.025,66152.1,-0.314,0.016425,5.36662856e-06,,,
1784620803.395,541c7f27,2bc9a561-1b50-4525-8a04-748649128c97,entry,BTC/USD,buy,limit,1,0,5.36662856e-06,66150.025,66152.1,-0.314,0.000888,0,,,
1784622052.56,8516331c,27b88aab-0318-4d23-b40d-bf57da91e794,entry,ETH/USD,buy,limit,1,0,0.006376244758,1942.328,1942.8,-2.429,0.030962,0.002888733623,,,
1784622057.561,8516331c,27b88aab-0318-4d23-b40d-bf57da91e794,entry,ETH/USD,buy,limit,1,0,0.002540184283,1942.328,1942.8,-2.429,0.012335,0.0003485493404,,,
1784622177.571,15f8b1e1,2bc9a561-1b50-4525-8a04-748649128c97,exit,BTC/USD,sell,limit,0,1,0.0002721002054,66229.6,66224.3,-0.8,0.072084,0,tier trail,,
1784622297.58,398b7600,27b88aab-0318-4d23-b40d-bf57da91e794,exit,ETH/USD,sell,limit,0,1,0.008916429041,1943.96,1944.15,0.977,0.069333,0,tier trail,,
1784623549.426,56bbe0fd,d6c6836c-e794-4265-8982-3f0aaeff41c5,entry,ETH/USD,buy,limit,1,0,0.0058141865,1939.42,1940.2,-4.02,0.028190,0.003463207583,,,
1784623554.426,56bbe0fd,d6c6836c-e794-4265-8982-3f0aaeff41c5,entry,ETH/USD,buy,limit,1,0,0.001412997852,1939.42,1940.2,-4.02,0.006851,0.002050209731,,,
1784625011.017,e2e9f2c1,1e168237-4be9-4b90-bdea-162646d0c914,entry,BTC/USD,buy,limit,1,0,0.0001063910256,66142.9,66142.9,0.0,0.017593,0.000165747027,,,
1784625056.02,a9051849,bd2a9c29-9394-4f05-b66b-b3c292ff5eee,entry,ETH/USD,buy,limit,1,0,0.04071107855,1937.42,1937.42,-0.0,0.197186,0.01223817079,,,
1784625061.02,a9051849,bd2a9c29-9394-4f05-b66b-b3c292ff5eee,entry,ETH/USD,buy,limit,1,0,0.01080477182,1937.42,1937.42,0.0,0.052333,0.001433398969,,,
1784625071.021,a9051849,bd2a9c29-9394-4f05-b66b-b3c292ff5eee,entry,ETH/USD,buy,limit,1,0,0.00126509193,1937.42,1937.42,-0.0,0.006128,0.0001683070394,,,
1784626988.55,1ed0c915,a2b67384-de1e-4631-9e13-70560aab0bef,entry,BTC/USD,buy,limit,1,0,0.0001363358857,66255,66255,0.0,0.022582,0.0001353417235,,,
1784626998.551,1ed0c915,a2b67384-de1e-4631-9e13-70560aab0bef,entry,BTC/USD,buy,limit,1,0,5.954166152e-05,66255,66255,0.0,0.009862,7.580006198e-05,,,
1784627003.552,1ed0c915,a2b67384-de1e-4631-9e13-70560aab0bef,entry,BTC/USD,buy,limit,1,0,6.449426021e-05,66255,66255,0.0,0.010683,1.130580177e-05,,,
1784627889.874,fd8fc533,bd2a9c29-9394-4f05-b66b-b3c292ff5eee,exit,ETH/USD,sell,limit,0,1,0.0527809423,1940.2,1940.21,0.052,0.409622,0,tier trail,,
1784627929.879,37e24593,1e168237-4be9-4b90-bdea-162646d0c914,exit,BTC/USD,sell,limit,0,1,0.0001063910256,66219.5,66231.1,1.751,0.028181,0,tier trail,,
1784628490.657,4b00edea,d6c6836c-e794-4265-8982-3f0aaeff41c5,exit,ETH/USD,sell,limit,0,1,0.007227184352,1941.27,1941.58,1.597,0.056120,0,tier trail,,
1784629140.715,ddcb1752,a2b67384-de1e-4631-9e13-70560aab0bef,exit,BTC/USD,sell,limit,0,1,0.0002603718075,66302.6,66302.6,-0.0,0.069053,0,tier trail,,
1784632907.66,77f04246,607e9f78-1dbc-44bc-b2ec-2a090e3f9a5d,entry,ETH/USD,sell,limit,1,0,0.003550953981,1927.12,1927.11,-0.052,0.017108,0.005789457308,,,
1784632912.66,77f04246,607e9f78-1dbc-44bc-b2ec-2a090e3f9a5d,entry,ETH/USD,sell,limit,1,0,0.005789457308,1927.12,1927.11,-0.052,0.027892,0,,,
1784634806.145,2a052538,9d3d7ce8-b241-46fd-96be-e005d84de77e,entry,ETH/USD,buy,limit,0,0,0.009302373656,1935,1934.99,0.052,0.072000,0,,,
1784636530.084,149d8731,f0d680ba-ced9-4d82-88c5-435317967bac,entry,ETH/USD,buy,limit,0,0,0.009270991069,1941.65,1941.54,0.567,0.072004,0,,,
1784637822.888,ef9884ed,9d3d7ce8-b241-46fd-96be-e005d84de77e,exit,ETH/USD,sell,limit,0,1,0.009302373656,1938.52,1940,7.629,0.072131,0,tier trail,,
1784640289.216,bd5f6c48,607e9f78-1dbc-44bc-b2ec-2a090e3f9a5d,exit,ETH/USD,buy,limit,0,1,0.009340411289,1936.62,1936.85,-1.187,0.072355,0,label-mature realization (ML-073),,
1784642968.967,14e73460,f0d680ba-ced9-4d82-88c5-435317967bac,exit,ETH/USD,sell,limit,0,1,0.009270991069,1935.42,1935.8,1.963,0.071773,0,tier trail,,
1784649914.993,eac70b27,b1c05600-2e91-43ae-8548-94fe0274488f,entry,BTC/USD,buy,limit,1,0,0.0004073517679,66725.7,66725.7,0.0,0.067952,0,,,
1784654870.457,1f6c5062,3893126f-eb1f-44b8-87cd-65fa99b90736,entry,BTC/USD,buy,limit,1,0,0.0004061711748,66455.8,66460.5,-0.707,0.067481,7.051375825e-06,,,
1784657778.834,0129cf97,2b93c2ed-eb13-4808-aaf5-f3d2e6f2812f,entry,BTC/USD,sell,limit,1,0,0.0002402649705,66266.8,66266.7,-0.015,0.039804,0.0001502382384,,,
1784658856.393,2b89142e,2b93c2ed-eb13-4808-aaf5-f3d2e6f2812f,exit,BTC/USD,buy,limit,0,1,0.0002402649705,66171.4,66171.3,0.015,0.063595,0,tier trail,,
1784659594.032,6eba694a,f051bd1d-5aee-44ac-a3d1-7ffd87f0067b,entry,ETH/USD,buy,limit,1,0,0.004924603357,1920.83,1920.84,-0.052,0.023648,0.005802811657,,,
1784659604.032,6eba694a,f051bd1d-5aee-44ac-a3d1-7ffd87f0067b,entry,ETH/USD,buy,limit,1,0,0.005102654966,1920.83,1920.84,-0.052,0.024503,0.0007001566911,,,
1784660823.872,606eaf9c,fab08170-830e-418f-8346-26514180329e,entry,ETH/USD,buy,limit,1,0,0.01046214457,1921.3725,1920.99,1.991,0.050254,0.0002190868273,,,
1784664429.328,294c9daf,b1c05600-2e91-43ae-8548-94fe0274488f,exit,BTC/USD,sell,limit,0,1,0.0004073517679,66407.1,66407.2,0.015,0.108204,0,label-mature realization (ML-073),,
1784664459.33,b130838c,3893126f-eb1f-44b8-87cd-65fa99b90736,exit,BTC/USD,sell,limit,0,1,0.0004061711748,66408.5,66408.5,-0.0,0.107893,0,label-mature realization (ML-073),,
1784664699.348,f2556764,bd98146a-5a48-4af0-b8a8-69c24cd7470d,entry,BTC/USD,buy,limit,1,0,0.0002388471384,66397.1,66397.1,0.0,0.039647,0.0001422687802,,,
1784664704.349,f2556764,bd98146a-5a48-4af0-b8a8-69c24cd7470d,entry,BTC/USD,buy,limit,1,0,5.804603854e-05,66397.1,66397.1,0.0,0.009635,8.422274165e-05,,,
1784665966.455,78725228,c479c32d-d81e-485a-ab6d-f8115bc75988,entry,BTC/USD,buy,limit,1,0,0.0002161081496,66374.4,66374.4,0.0,0.035860,0.0001702671925,,,
1784665976.456,78725228,c479c32d-d81e-485a-ab6d-f8115bc75988,entry,BTC/USD,buy,limit,1,0,6.656511672e-05,66374.4,66374.4,0.0,0.011046,0.0001037020758,,,
1784665986.457,78725228,c479c32d-d81e-485a-ab6d-f8115bc75988,entry,BTC/USD,buy,limit,1,0,0.0001037020758,66374.4,66374.4,-0.0,0.017208,0,,,
1784666414.054,d055465b,f051bd1d-5aee-44ac-a3d1-7ffd87f0067b,exit,ETH/USD,sell,limit,0,1,0.01002725832,1923.04,1923.04,-0.0,0.077131,0,tier trail,,
1784666694.078,17f0239a,85ba0aca-f7ac-4f68-9bc8-3031d0d267bb,entry,ETH/USD,buy,limit,1,0,0.008566437263,1923.61,1923.5,0.572,0.041196,0.002575159538,,,
1784666714.08,17f0239a,85ba0aca-f7ac-4f68-9bc8-3031d0d267bb,entry,ETH/USD,buy,limit,1,0,0.002272789098,1923.61,1923.5,0.572,0.010930,0.0003023704407,,,
1784670312.263,292d2b40,fab08170-830e-418f-8346-26514180329e,exit,ETH/USD,sell,limit,0,1,0.01046214457,1924.930643,1924.97,0.204,0.080556,0,label-mature realization (ML-073),,
1784670808.618,8285058d,331b3db0-7a74-4fff-902a-29f0666f42da,entry,ETH/USD,buy,limit,1,0,0.008959855574,1923.36,1923.44,-0.416,0.043083,0.002560416789,,,
1784670813.619,8285058d,331b3db0-7a74-4fff-902a-29f0666f42da,entry,ETH/USD,buy,limit,1,0,0.001126418859,1923.36,1923.44,-0.416,0.005416,0.00143399793,,,
1784670818.619,8285058d,331b3db0-7a74-4fff-902a-29f0666f42da,entry,ETH/USD,buy,limit,1,0,0.001220112929,1923.36,1923.44,-0.416,0.005867,0.0002138850011,,,
1784674408.266,021d3f63,bd98146a-5a48-4af0-b8a8-69c24cd7470d,exit,BTC/USD,sell,limit,0,1,0.000296893177,66243.9,66244,0.015,0.078669,0,label-mature realization (ML-073),,
