position_id,asset,side,ret_1_dir,ret_6_dir,ret_12_dir,ret_48_dir,sigma_bar_pct,vol_percentile,imbalance_dir,spread_bps,depth_log,fv_edge_bps,basis_dir,volume_z,funding_dir,mom_dir,drawdown_pct,regime_bull_quiet,regime_bull_vol,regime_range,regime_bear,regime_crisis,corr_fast,corr_shift,turbulence_pct,sent_dir,sent_fear,fear_greed,dominance_delta,equity_risk_z,hour_sin,hour_cos,weekend,imbalance_delta_dir,other_ret_6_dir,depth_ratio,mtf_align,pd_zone,liq_pocket_pull,fvg_pull,fvg_liq_confluence,poc_dist,va_pos,regime_age,funding_dist,venue_disloc_dir,th_grid,th_metronome,th_clockwork,th_stopzone,th_barclose,opt_pcr_z,opt_oi_pcr_z,opt_iv_skew,manip_suspect,pat_engulf_dir,pat_hammer_dir,pat_marubozu_dir,vol_term,mkt_ret_6_dir,book_touch_share,flow_tox,direction,gate_confidence,label,net_pnl_usd,source,ts,signal_ts,barrier,probe,disp
cand-2b55074f-4090,BTC,long,-0.674684,0.721889,0.336973,0.025021,0.050056,0.076667,0.431604,0.001550,0.879688,0.000000,0.014519,-0.338993,0.055832,-0.333333,0.285673,0.000000,0.000000,1.000000,0.000000,0.000000,0.882844,0.042629,0.052000,0.035097,0.000000,0.280000,-0.006105,0.000000,-0.734323,-0.678801,1.000000,-0.616557,-0.028286,1.265457,1.000000,0.765345,0.952019,0.000000,0.000000,0.050010,0.000000,1.000000,0.106018,-0.020923,0.063000,0.000000,0.000000,0.773000,0.011000,0.000000,0.000000,-1.000000,0.606429,0.000000,-0.389545,-0.374138,0.000000,0.000000,0.200000,0.000000,1.000000,0.748726,0,0.00,candidate,1784502332,1784473200,,,
cand-2b55074f-4092,BTC,long,-1.041908,0.415505,0.266200,-0.348261,0.050277,0.076667,1.120118,0.001550,0.906560,0.000000,-0.079872,-0.663169,0.053559,-0.333333,0.285673,0.000000,0.000000,1.000000,0.000000,0.000000,0.936036,0.093418,0.052000,0.035097,0.000000,0.280000,-0.002488,0.000000,-0.746057,-0.665882,1.000000,0.688514,-0.020294,2.129098,1.000000,0.679970,0.934528,0.000000,0.000000,0.039556,0.000000,1.000000,0.096332,-0.287804,0.042000,0.000000,0.000000,0.773000,0.011000,0.000000,0.000000,-1.000000,0.011208,0.000000,-0.052365,-0.771167,0.000000,0.000000,0.200000,0.000000,1.000000,0.748722,0,0.00,candidate,1784502332,1784473500,,,
cand-2b55074f-4095,BTC,long,-0.465142,-0.722101,0.819505,-0.281608,0.050986,0.080000,0.385241,0.001551,0.864282,0.000000,0.002451,-0.138622,0.050035,-0.333333,0.285673,0.000000,0.000000,1.000000,0.000000,0.000000,0.953046,0.105477,0.052000,0.030852,0.000000,0.280000,0.002900,0.000000,-0.785317,-0.619094,1.000000,0.115084,-0.170328,1.079541,1.000000,0.678707,0.934269,0.000000,0.000000,0.039401,0.000000,1.000000,0.068145,-0.012095,0.019000,0.000000,0.000000,0.902000,0.009000,0.000000,0.000000,-1.000000,0.413394,0.000000,0.207781,-0.544170,0.000000,0.000000,0.200000,0.000000,1.000000,0.748718,0,0.00,candidate,1784502332,1784474400,,,
cand-2b55074f-4099,BTC,long,1.986167,0.346883,0.529431,0.154064,0.051986,0.080000,1.187503,0.001550,0.874144,0.000000,0.042272,-0.000995,0.045559,-0.333333,0.285203,0.000000,0.000000,1.000000,0.000000,0.000000,0.759362,-0.069861,0.176000,0.030861,0.000000,0.280000,0.006423,0.000000,-0.829038,-0.559193,1.000000,0.129248,-0.009080,1.176519,1.000000,0.751958,0.949278,0.000000,0.000000,0.048371,0.000000,1.000000,0.032733,-0.289522,0.013000,0.000000,0.000000,0.807000,0.005000,0.000000,0.000000,-1.000000,0.196392,1.000000,-0.005059,0.928870,0.000000,0.000000,0.200000,0.000000,1.000000,0.744858,0,0.00,candidate,1784502332,1784475300,,,
cand-2b55074f-4100,BTC,long,0.095424,-0.104687,0.393529,0.145515,0.051962,0.080000,1.098871,0.001550,0.844473,0.000000,-0.026817,-0.794261,0.045103,-0.333333,0.285203,0.000000,0.000000,1.000000,0.000000,0.000000,0.693780,-0.131780,0.176000,0.030861,0.000000,0.280000,0.006423,0.000000,-0.833886,-0.551937,1.000000,-0.088632,-0.118030,0.770965,1.000000,0.760040,0.950933,0.000000,0.000000,0.049360,0.000000,1.000000,0.028377,-0.078483,0.056000,0.000000,0.000000,0.681000,0.005000,0.000000,0.000000,-1.000000,0.497993,0.000000,-0.729493,0.125984,0.000000,0.000000,0.200000,0.000000,1.000000,0.748841,0,0.00,candidate,1784502332,1784475600,,,
cand-2b55074f-4102,BTC,long,-0.178931,0.132722,-0.456962,0.293299,0.051960,0.080000,1.176311,0.001550,0.892166,0.000000,0.018362,-0.887949,0.044151,-0.333333,0.285203,0.000000,0.000000,1.000000,0.000000,0.000000,0.703305,-0.122389,0.176000,0.030861,0.000000,0.280000,0.006423,0.000000,-0.843391,-0.537300,1.000000,0.077441,-0.068393,1.569518,1.000000,0.744885,0.947830,0.000000,0.000000,0.047506,0.000000,1.000000,0.020676,-0.246024,0.016000,0.000000,0.000000,0.893000,0.003000,0.000000,0.000000,-1.000000,0.052012,-0.953125,0.068269,-0.223443,0.000000,0.000000,0.200000,0.000000,1.000000,0.748893,0,0.00,candidate,1784502332,1784475900,,,
cand-2b55074f-4116,BTC,long,0.442504,0.144978,-0.439124,0.673247,0.054997,0.096667,0.393033,0.001550,0.848595,-0.147499,-0.533186,4.646654,0.024444,-0.333333,0.281030,0.000000,0.000000,1.000000,0.000000,0.000000,0.027041,-0.540273,0.116000,0.030798,0.000000,0.280000,0.010231,0.000000,-0.971342,-0.237686,1.000000,-0.828335,-0.233755,0.835402,1.000000,0.688575,0.941982,0.000000,0.000000,0.046949,0.000000,1.000000,0.864517,-0.168961,0.015000,0.000000,0.000000,0.989000,0.000000,0.000000,0.000000,-1.000000,0.068469,0.000000,0.741930,0.098113,0.000000,0.000000,0.200000,0.000000,1.000000,0.869774,0,0.00,candidate,1784502332,1784480400,,,
cand-2b55074f-4135,BTC,long,-0.684001,-1.058997,0.133501,0.279612,0.057315,0.103333,0.851529,0.001552,0.889793,0.706416,1.025839,-0.761861,0.014932,-0.333333,0.279615,0.000000,0.000000,1.000000,0.000000,0.000000,0.873693,0.098278,0.168000,0.031032,0.000000,0.280000,-0.012451,0.000000,-0.999848,0.017452,1.000000,0.704545,-0.156878,1.482224,1.000000,0.425691,0.892595,0.951825,1.000000,0.046963,0.000000,1.000000,0.741546,-0.367919,0.028000,0.000000,0.000000,0.463000,0.008000,0.000000,0.000000,-1.000000,0.270981,0.000000,0.123393,-0.583908,0.000000,0.000000,0.200000,0.000000,1.000000,0.744522,0,0.00,candidate,1784502332,1784483700,,,
cand-2b55074f-4194,BTC,long,0.890558,0.556121,0.636972,0.017904,0.056237,0.103333,1.048808,0.001551,0.882573,0.000000,-0.126755,-0.089092,0.012664,-0.333333,0.281656,0.000000,0.000000,1.000000,0.000000,0.000000,0.924930,0.062377,0.228000,0.026834,0.000000,0.280000,0.005668,0.000000,-0.704015,0.710185,1.000000,0.877061,0.156568,1.433240,1.000000,0.548156,0.886063,0.945305,1.000000,0.010438,0.000000,1.000000,0.371029,-0.294819,0.029000,0.000000,0.000000,0.949000,0.029000,0.000000,0.000000,-1.000000,0.142866,0.000000,0.179982,0.575758,0.000000,0.000000,0.200000,0.000000,1.000000,1.000000,0,0.00,candidate,1784502332,1784494500,,,
cand-2b55074f-4198,BTC,long,0.702414,0.488705,0.228730,-0.664112,0.055184,0.096667,0.554094,0.001551,0.866054,0.000000,0.103020,-0.040078,0.010621,-0.333333,0.281087,0.000000,0.000000,1.000000,0.000000,0.000000,0.579483,-0.273424,0.212000,0.026834,0.000000,0.280000,-0.004379,0.000000,-0.649448,0.760406,1.000000,-0.534862,0.061649,0.974386,1.000000,0.545082,0.885286,0.944529,1.000000,0.009973,0.000000,1.000000,0.335586,-0.169143,0.048000,0.000000,0.000000,0.545000,0.025000,0.000000,0.000000,-1.000000,0.013088,0.573394,0.002767,0.360750,0.000000,0.000000,0.200000,0.000000,1.000000,0.874422,0,0.00,candidate,1784502332,1784495400,,,
cand-2b55074f-4209,BTC,long,2.303810,1.323182,0.304769,0.428989,0.058297,0.103333,1.153773,0.001549,0.877839,-0.033782,-0.873159,2.799131,0.013504,-0.333333,0.281087,0.000000,0.000000,1.000000,0.000000,0.000000,0.939056,0.079734,0.212000,0.026834,0.000000,0.280000,0.004971,0.000000,-0.461749,0.887011,1.000000,2.000000,0.197073,1.056081,0.000000,0.690049,0.950922,0.000000,0.000000,0.014527,0.000000,1.000000,0.227718,-0.365460,0.010000,0.000000,0.000000,0.599000,0.021000,0.000000,0.000000,-1.000000,0.216319,0.000000,0.314321,0.400185,0.000000,0.000000,0.200000,0.000000,1.000000,0.869482,0,0.00,candidate,1784502332,1784498700,,,
cand-2b55074f-4091,ETH,long,-0.774666,-0.099342,0.097998,-0.256786,0.083400,0.106667,0.788173,0.005338,0.737166,0.000000,-0.119108,-0.721567,0.060753,-0.333333,0.377245,0.000000,0.000000,1.000000,0.000000,0.000000,0.935921,0.093303,0.052000,0.035097,0.000000,0.280000,-0.002488,0.000000,-0.746057,-0.665882,1.000000,-0.272822,0.051171,0.517301,1.000000,0.565499,0.880715,0.000000,0.000000,-0.024569,0.000000,1.000000,0.097397,-0.234805,0.037000,0.000000,0.000000,0.463000,0.000000,0.000000,0.000000,-1.000000,0.464650,0.000000,-0.264254,-0.485944,0.000000,0.000000,0.200000,0.000000,1.000000,0.748722,0,0.00,candidate,1784502616,1784473500,,,
cand-2b55074f-4093,ETH,long,0.796679,0.137877,0.165571,-0.081827,0.083775,0.113333,0.445038,0.005337,0.775892,0.000000,-0.069379,-0.805008,0.060379,-0.333333,0.377245,0.000000,0.000000,1.000000,0.000000,0.000000,0.967235,0.122518,0.052000,0.035097,0.000000,0.280000,-0.002488,0.000000,-0.751840,-0.659346,1.000000,-0.178741,0.084161,1.024067,1.000000,0.646563,0.903034,0.000000,0.000000,-0.011209,0.000000,1.000000,0.092042,-0.256121,0.018000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,-1.000000,0.265422,0.520661,-0.029761,0.501992,0.000000,0.000000,0.200000,0.000000,1.000000,0.748722,0,0.00,candidate,1784502925,1784473800,,,
cand-2b55074f-4094,BTC,long,1.232867,0.678239,0.286114,-0.080769,0.050658,0.076667,1.075179,0.001549,0.873140,0.000000,-0.124356,-0.724618,0.053039,-0.333333,0.285673,0.000000,0.000000,1.000000,0.000000,0.000000,0.967235,0.122518,0.052000,0.035097,0.000000,0.280000,-0.002488,0.000000,-0.751840,-0.659346,1.000000,-0.044939,0.028293,1.200772,1.000000,0.781763,0.955381,0.000000,0.000000,0.052019,0.000000,1.000000,0.092042,-0.306233,0.068000,0.000000,0.000000,0.598000,0.015000,0.000000,0.000000,-1.000000,0.268651,0.597923,0.048506,0.756098,0.000000,0.000000,0.200000,0.000000,1.000000,0.748722,0,0.00,candidate,1784502926,1784473800,,,
